// trade log:
trade 107: size: -20, entry: 5235.3701171875 at tick 968, exit: 5235.89013671875 at tick 969, pnl: -10.400390625
trade 108: size: -20, entry: 5237.8798828125 at tick 977, exit: 5238.3798828125 at tick 978, pnl: -10
trade 109: size: -20, entry: 5238.3701171875 at tick 988, exit: 5239.14013671875 at tick 989, pnl: -15.400390625
trade 110: size: -20, entry: 5239.35986328125 at tick 991, exit: 5240.35986328125 at tick 992, pnl: -20
trade 111: size: -20, entry: 5241.10009765625 at tick 1002, exit: 5240.58984375 at tick 1007, pnl: 10.205078125
trade 112: size: -20, entry: 5234.52001953125 at tick 1049, exit: 5235.02001953125 at tick 1050, pnl: -10
trade 113: size: -20, entry: 5235.52001953125 at tick 1052, exit: 5233.52978515625 at tick 1053, pnl: 39.8046875
trade 114: size: -20, entry: 5235.7900390625 at tick 1059, exit: 5234.2900390625 at tick 1060, pnl: 30
trade 115: size: -20, entry: 5236 at tick 1065, exit: 5237.27001953125 at tick 1066, pnl: -25.400390625
trade 116: size: -20, entry: 5236.759765625 at tick 1068, exit: 5236.259765625 at tick 1069, pnl: 10
trade 117: size: -20, entry: 5236.52978515625 at tick 1081, exit: 5236.52001953125 at tick 1082, pnl: 0.1953125
trade 118: size: -20, entry: 5237.2900390625 at tick 1086, exit: 5236.27978515625 at tick 1087, pnl: 20.205078125
trade 119: size: -20, entry: 5236.77001953125 at tick 1099, exit: 5237.27978515625 at tick 1100, pnl: -10.1953125
trade 120: size: -20, entry: 5239.02978515625 at tick 1104, exit: 5239.27001953125 at tick 1106, pnl: -4.8046875
trade 121: size: -20, entry: 5239.77978515625 at tick 1120, exit: 5240.0498046875 at tick 1121, pnl: -5.400390625
trade 122: size: -20, entry: 5240.2998046875 at tick 1125, exit: 5239.7900390625 at tick 1125, pnl: 10.1953125
trade 123: size: -20, entry: 5240.27978515625 at tick 1134, exit: 5239.759765625 at tick 1134, pnl: 10.400390625
trade 124: size: -20, entry: 5240.25 at tick 1137, exit: 5238.240234375 at tick 1144, pnl: 40.1953125
trade 125: size: -20, entry: 5239.72021484375 at tick 1146, exit: 5241.47998046875 at tick 1147, pnl: -35.1953125
trade 126: size: -20, entry: 5239.68994140625 at tick 1173, exit: 5240.43994140625 at tick 1174, pnl: -15
trade 127: size: -20, entry: 5240.41015625 at tick 1176, exit: 5237.669921875 at tick 1178, pnl: 54.8046875
trade 128: size: -20, entry: 5240.6298828125 at tick 1184, exit: 5238.8701171875 at tick 1187, pnl: 35.1953125
trade 129: size: -20, entry: 5243.8701171875 at tick 1196, exit: 5244.6298828125 at tick 1197, pnl: -15.1953125
trade 130: size: -20, entry: 5235.47998046875 at tick 1224, exit: 5235.240234375 at tick 1227, pnl: 4.794921875
trade 131: size: -20, entry: 5236 at tick 1230, exit: 5236.47998046875 at tick 1231, pnl: -9.599609375
trade 132: size: -20, entry: 5236.740234375 at tick 1233, exit: 5236.22998046875 at tick 1234, pnl: 10.205078125
