// trade log:
trade 134: size: -100, entry: 4165.2900390625 at tick 718, exit: 4165.5498046875 at tick 718, pnl: -25.9765625
trade 135: size: -100, entry: 4164.2998046875 at tick 724, exit: 4164.27978515625 at tick 725, pnl: 2.001953125
trade 136: size: -100, entry: 4164.27978515625 at tick 727, exit: 4164.7900390625 at tick 728, pnl: -51.025390625
trade 137: size: -100, entry: 4164.27978515625 at tick 739, exit: 4164.0400390625 at tick 740, pnl: 23.974609375
trade 138: size: -100, entry: 4165.7900390625 at tick 742, exit: 4165.5498046875 at tick 746, pnl: 24.0234375
trade 139: size: -100, entry: 4165.2998046875 at tick 748, exit: 4165.0498046875 at tick 748, pnl: 25
trade 140: size: -100, entry: 4165.5498046875 at tick 751, exit: 4164.5498046875 at tick 751, pnl: 100
trade 141: size: -100, entry: 4164.7900390625 at tick 754, exit: 4164.5498046875 at tick 754, pnl: 24.0234375
trade 142: size: -100, entry: 4167.02978515625 at tick 759, exit: 4167.0498046875 at tick 760, pnl: -2.001953125
trade 143: size: -100, entry: 4168.2998046875 at tick 764, exit: 4168.5400390625 at tick 764, pnl: -24.0234375
trade 144: size: -100, entry: 4167.7998046875 at tick 781, exit: 4166.2900390625 at tick 781, pnl: 150.9765625
trade 145: size: -100, entry: 4166.27978515625 at tick 784, exit: 4165.7998046875 at tick 784, pnl: 47.998046875
trade 146: size: -100, entry: 4165.02978515625 at tick 792, exit: 4163.7998046875 at tick 793, pnl: 122.998046875
trade 147: size: -100, entry: 4164.5498046875 at tick 796, exit: 4164.2998046875 at tick 797, pnl: 25
trade 148: size: -100, entry: 4168.52978515625 at tick 816, exit: 4168.0498046875 at tick 817, pnl: 47.998046875
trade 149: size: -100, entry: 4172.0400390625 at tick 820, exit: 4172.52978515625 at tick 821, pnl: -48.974609375
trade 150: size: -100, entry: 4172.52978515625 at tick 823, exit: 4172.52978515625 at tick 824, pnl: -0
trade 151: size: -100, entry: 4172.669921875 at tick 844, exit: 4172.419921875 at tick 845, pnl: 25
trade 152: size: -100, entry: 4171.2099609375 at tick 848, exit: 4170.97021484375 at tick 848, pnl: 23.974609375
trade 153: size: -100, entry: 4172.8798828125 at tick 874, exit: 4174.39013671875 at tick 875, pnl: -151.025390625
trade 154: size: -100, entry: 4178.75 at tick 888, exit: 4179.5 at tick 889, pnl: -75
trade 155: size: -100, entry: 4178.7900390625 at tick 893, exit: 4179.7998046875 at tick 894, pnl: -100.9765625
trade 156: size: -100, entry: 4181.08984375 at tick 901, exit: 4182.35009765625 at tick 901, pnl: -126.025390625
trade 157: size: -100, entry: 4171.93994140625 at tick 921, exit: 4173.68017578125 at tick 922, pnl: -174.0234375
trade 158: size: -100, entry: 4170.43994140625 at tick 936, exit: 4171.68017578125 at tick 937, pnl: -124.0234375
trade 159: size: -100, entry: 4170.18017578125 at tick 944, exit: 4171.18017578125 at tick 945, pnl: -100
trade 160: size: -100, entry: 4172.93017578125 at tick 954, exit: 4173.16015625 at tick 955, pnl: -22.998046875
trade 161: size: -100, entry: 4177.39013671875 at tick 971, exit: 4178.3798828125 at tick 971, pnl: -98.974609375
trade 162: size: -100, entry: 4178.85009765625 at tick 989, exit: 4179.85009765625 at tick 990, pnl: -100
trade 163: size: -100, entry: 4180.35986328125 at tick 992, exit: 4184.60986328125 at tick 992, pnl: -425
trade 164: size: -100, entry: 4185.31005859375 at tick 1003, exit: 4184.31005859375 at tick 1004, pnl: 100
trade 165: size: -100, entry: 4182.02001953125 at tick 1013, exit: 4182.7900390625 at tick 1014, pnl: -77.001953125
trade 166: size: -100, entry: 4183.259765625 at tick 1017, exit: 4182.5 at tick 1018, pnl: 75.9765625
trade 167: size: -100, entry: 4183.990234375 at tick 1035, exit: 4182.990234375 at tick 1035, pnl: 100
trade 168: size: -100, entry: 4179.240234375 at tick 1060, exit: 4179.509765625 at tick 1061, pnl: -26.953125
trade 169: size: -100, entry: 4181.72021484375 at tick 1084, exit: 4180.740234375 at tick 1092, pnl: 97.998046875
trade 170: size: -100, entry: 4167.009765625 at tick 1118, exit: 4166.77978515625 at tick 1119, pnl: 22.998046875
trade 171: size: -100, entry: 4170.7998046875 at tick 1125, exit: 4170.5400390625 at tick 1126, pnl: 25.9765625
trade 172: size: -100, entry: 4169.5400390625 at tick 1129, exit: 4168.7900390625 at tick 1129, pnl: 75
trade 173: size: -100, entry: 4170.31005859375 at tick 1136, exit: 4170.2900390625 at tick 1136, pnl: 2.001953125
trade 174: size: -100, entry: 4172.81005859375 at tick 1140, exit: 4172.0400390625 at tick 1140, pnl: 77.001953125
trade 175: size: -100, entry: 4171.580078125 at tick 1147, exit: 4170.56005859375 at tick 1147, pnl: 102.001953125
trade 176: size: -100, entry: 4170.080078125 at tick 1163, exit: 4170.08984375 at tick 1163, pnl: -0.9765625
trade 177: size: -100, entry: 4169.830078125 at tick 1168, exit: 4169.35009765625 at tick 1168, pnl: 47.998046875
trade 178: size: -100, entry: 4170.08984375 at tick 1174, exit: 4168.60986328125 at tick 1175, pnl: 147.998046875
trade 179: size: -100, entry: 4167.39990234375 at tick 1184, exit: 4167.16015625 at tick 1185, pnl: 23.974609375
trade 180: size: -100, entry: 4170.669921875 at tick 1187, exit: 4169.91015625 at tick 1188, pnl: 75.9765625
trade 181: size: -100, entry: 4170.39990234375 at tick 1199, exit: 4171.169921875 at tick 1199, pnl: -77.001953125
trade 182: size: -100, entry: 4159.6201171875 at tick 1227, exit: 4158.6201171875 at tick 1227, pnl: 100
trade 183: size: -100, entry: 4158.8701171875 at tick 1233, exit: 4158.6298828125 at tick 1233, pnl: 24.0234375
